source,name,pair,switch,window,streams,status,modes,hq,passing_suffix,first_pass_step,stable_from_step
tight,w0-prior-d-0-120,,,0:120,prior_d,FAIL,6,0.9987792969,0,550,
tight,w0-prior-80-120,,,80:120,prior,PASS,8,0.9990234375,8,850,850
tight,w0-prior-g-0-120,,,0:120,prior_g,PASS,8,0.9990234375,7,400,900
tight,w606-200-300-data,,,200:300,data,PASS,8,0.9995117188,7,650,900
tight,w606-300-400-data,,,300:400,data,FAIL,0,0.0000000000,0,,
tight,w606-250-350-data,,,250:350,data,FAIL,8,1.0000000000,3,600,
tight,w606-200-400-data_d_idx+data_g_idx,,,200:400,"data_d_idx,data_g_idx",FAIL,1,0.0798339844,0,400,
tight,w606-200-400-data_d_eps+data_g_eps,,,200:400,"data_d_eps,data_g_eps",FAIL,8,0.8469238281,0,700,
tight,w606-200-400-data_d_idx+data_d_eps,,,200:400,"data_d_idx,data_d_eps",FAIL,7,1.0000000000,0,,
tight,w606-200-400-data_g_idx+data_g_eps,,,200:400,"data_g_idx,data_g_eps",FAIL,7,1.0000000000,0,,
tight,r101-k60,,60,,all,PASS,8,0.9995117188,9,350,800
tight,r101-k70,,70,,all,FAIL,7,0.9987792969,0,,
tight,r101-k80,,80,,all,PASS,8,1.0000000000,7,750,900
tight,r101-k90,,90,,all,PASS,8,0.9970703125,9,600,800
tight,r202-k610,,610,,all,FAIL,7,0.9726562500,0,,
tight,r202-k630,,630,,all,PASS,8,0.9770507812,6,950,950
tight,r202-k620,,620,,all,FAIL,6,0.7961425781,0,,
tight,r505-k260,,260,,all,PASS,8,0.9995117188,7,900,900
tight,r505-k270,,270,,all,FAIL,8,1.0000000000,4,600,
tight,r505-k280,,280,,all,PASS,8,1.0000000000,7,600,900
tight,r505-k290,,290,,all,FAIL,0,0.0000000000,0,,
tight,p0-k870,,870,,all,PASS,8,0.9997558594,7,600,900
tight,p0-k865,,865,,all,PASS,8,0.9995117188,6,600,950
tight,p0-k875,,875,,all,PASS,8,0.9997558594,7,600,900
tight,p303-k590,,590,,all,PASS,8,1.0000000000,10,650,750
tight,p303-k570,,570,,all,PASS,8,0.9990234375,9,800,800
tight,p303-k610,,610,,all,PASS,8,0.9997558594,8,600,850
tight,p606-k770,,770,,all,PASS,8,1.0000000000,8,850,850
tight,p303-k630,,630,,all,PASS,8,1.0000000000,8,600,850
tight,p606-k785,,785,,all,PASS,8,0.9995117188,9,800,800
tight,p606-k790,,790,,all,PASS,8,1.0000000000,8,850,850
tight,dense-s101,,1200,,all,FAIL,7,1.0000000000,0,,
tight,dense-s0,,1200,,all,PASS,8,0.9997558594,7,600,900
